;Titulo;Sinopsis;Genero
2675;How I Met Your Dad;"
'How I Met Your Dad' ('Cómo conocí a vuestro padre') es la nueva apuesta de CBS de cara a la próxima temporada. Se trata del 'spin-off' de la exitosa comedia 'Cómo conocí a vuestra madre'. La nueva serie contará con una mujer como principal narradora de la historia y un relato completamente diferente, con nuevos personajes y una nueva voz como núcleo central.
La actriz Greta Gerwig interpretará el papel protagonista como Sally, cogiendo el testigo de Ted (Josh Radnor). La trama principal seguirá la misma estela que la serie original: contar a sus hijos cómo conoció a su padre. Para esta importante labor Sally no estará sola. Contará con la ayuda de su hermano Danny (Andrew Santino) y su amigo Todd (Drew Tarver), quien a su vez es la pareja sentimental de Danny.
Además, la actriz veterana Meg Ryan será la voz narradora de la serie en las escenas en las que una Sally del futuro cuenta a sus hijos los sucesos vividos durante su vida hasta que conoce al que será el padre de estos. Por otro lado, el MacLarens será el pub favorito de este nuevo grupo de amigos residentes en Nueva York.
";Comedia
2676;How To Be A Gentleman;"
    
              Dirigida por Pamela Fryman ('Cómo conocí a vuestra madre', 'Dos hombres y medio') y escrita por John Bridges y David Hornsby (también protagonista y marido en la vida real de Emily Deschanel, Temperance Brennan en 'Bones), 'How To Be A Gentleman' se basa en las enseñanzas del superventas 'How to Be a Gentleman: A Timely Guide to Timeless Manners' de Thomas Nelson, algo así como 'Como ser un cabllaero: Una guía oportuna de modales que nunca mueren'.Bienvenido a una amistad que se sale de lo normal. Un encuentro fortuito entre un refinado escritor y un nada distinguido entrenador personal. Conoce a Andrew Carlson (Hornsby, 'Pearl Harbor', 'Minority Report', 'It's Always Sunny in Philadelphia'), un columnista de prestigio cuya adoración por los tiempos pasados y más civilizados le han llevado a convertirse en un misántropo. En una persona que rechaza y concibe la modernidad como una evolución negativa de la sociedad. En el otro lado del 'ring' tenemos a Bert Lansing (Kevin Dillon, el inolvidable Johnny 'Drama' de 'El Séquito'), un chico malo reformado que proviene del pasado de Andrew y que acaba heredando un gimnasio. Un empresario a pequeña escala del culto al cuerpo, cuyas maneras pueden definirse como ""groseras"", ""horteras"" y ""descuidadas"".Cuando el director de Andrew (Dave Foley, 'Días de radio') le obliga a modernizar su columna a riesgo de despedirle si no lo hace, nuestro protagonista contrata a Bert como líder espiritual y vital. Su objetivo es dejar de ser un caballero y empezar a ser un hombre del siglo XXI. Pero, ¿a qué precio? La madre y la hermana de Andrew, Diana (Nancy Lenehan, 'Atrápame si puedes', 'Pleasantville') y Janet (Mary Lynn Rajskub, '24', 'Pequeña Miss Sunshine'), apoyan el 'Cambio Radical'; lo mismo haría el marido de Janet, Mike (Rhys Darby, 'Radio encubierta', 'Los Conchords'), si se le permitiera tener una opinión.Claro que las enseñanzas de Bert pueden resultar medievales en algunos momentos; prehistóricas tal vez, pero Andrew y su entrenador quizá sean almas gemelas. Los eslabones que necesitaban en sus vidas para sentirse completos y seguir adelante. Los polos opuestos se atraen, ¿no? Producen el guionista e intérprete David Hornsby además de Adam Chase ('Friends'), Ted Schachter ('Michael Ian Black: Very Famous'), Joe Hipps ('Tru calling') y Modi Wiczyk ('21 gramos', 'Fahrenheit 9/11', 'Bruno').
    
      ";Comedia
2677;How To Live With Your Parents (For The Rest of Your Life);"
    
              Comedia de la cadena ABC en la que una mujer divorciada tiene que volver a vivir en casa de sus padres. Polly (Sarah Chalke, 'Cougar Town', 'Scrubs') pensaba que había volado del nido para siempre. Está casada y tiene una hija, Natalie (Rachel Eggleston). Pero cuando se divorcia de su marido Julian (Jon Dore, 'A Woman Hunted'), decide que la única forma de superar sus apuros económicos es regresar a casa de sus padres, Elaine (Elizabeth Perkins, 'Weeds') y Max (Brad Garrett, 'Noche en el museo 2'). Sin embargo, los malentendidos no tardan en llegar, y es que la conservadora Polly pierde los nervios con sus desenfadados y extravagantes progenitores.Polly tratará de superar su ruptura y comenzar una nueva vida junto a su mejor amigo Gregg (Orlando Jones, 'Más allá de la duda') y su nueva asistente Jenn (Rebecca Delgado Smith), que le mostrará una nueva y divertida formar de afrontar la vida. Aunque para ello debe aguantar las constantes apariciones de su encantador (e irresponsable) ex.
    
      ";Comedia
2678;How We Live;"
How We Live es uno de los nuevos proyectos que prepara NBC para la próxima temporada. Se trata de una producción grabada con una sola cámara que se centra en un blogero y su esposa. La pareja se traslada a los suburbios, razón por la que el protagonista comienza a escribir sobre el matrimonio y la vida familiar de sus amigos y vecinos, simulando ser un antropólogo que ha tropezado con una tribu desconocida.La producción ejecutiva está a cargo de Steven Cragg, Brian Bradley y David Janollari. Tanto Cragg como Bradley (Scrubs, Happy Endings) se encargarán también del guión, puesto que la idea está basada en la observación que ambos realizaron de sus vidas personales y familiares. 
    
      ";Comedia
2679;Hoy quiero confesar;"
    
              Biopic de Isabel Pantoja que narra en dos episodios la vida tanto personal como artística de la famosa tonadillera. Desde sus comienzos en el mundo de la copla y su matrimonio con el torero Paquirri, hasta su reciente relación con el ex alcalde de Marbella Julián Muñoz y sus problemas con la ley.
    
      ";Biografía
2680;Huge;"
Adpatación del libro homónimo de Sasha Paley, que sigue la vida de 7 jóvenes en un campamento de verano para adelgazar. La historia arranca con Will (Nikki Blonsky, 'Hairspray') y su negativa hacia el campamento al que ha acudido obligada por sus padres, dueños de una cadena de gimnasios. Para llevarles la contraria trata de huir y en vez de perder peso intenta engordar abusando de la comida grasienta. Enseguida conectará con Ian (Ari Stidham), un torpe músico al que le cuesta trabajo componer canciones. Amber (Hayley Hasselhoff) es la más delgada, pero a pesar de ello sigue convencida en perder aún más peso. Con sus ahorros ha pagado la suscripción al campamento. Becca (Raven Goodwin), es muy tímida, es la empollona del grupo y le gustan las runas y leer en soledad. A medida que avanzan los días va ganando más confianza gracias a Will. Chloe (Ashley Holliday) repite en el campamento, es su segundo año y está dispuesta a conseguir la popularidad a cualquier precio. Alistar (Harvey Guillen), es el bicho raro, excluido por el resto de jóvenes, vive en su propio mundo. Y Trent (Stefan Van Ray), novio de Chloe, es un corpulento deportista.Lo característico de la serie es que los protagonistas no son guapos y populares como en la mayoría de series juveniles, si no chicos y chicas con problemas de peso que tratan de conocerse a sí mismos y aceptarse tal y como son.
";Drama
2681;Huge in France;"
Gad Elmaleh, quien se interpreta a sí mismo, es un cómico francés de éxito decidido a abandonar los proyectos en los que se encuentra inmerso y trasladarse de Francia a Los Ángeles, en un intento de retomar la relación con su hijo de 16 años, quien es modelo masculino que además odia la comedia. Por si fuera poco, Elmaleh tiene que llevar a cabo este proceso sin hacer uso de las ventajas que le otorga ser famoso.En cuanto a la producción, Jarrad Paul (Di que sí) y Andy Mogel son los cocreadores junto con Elmaleh de esta comedia para Netflix.
";Comedia
2682;Husbands;"
    
              Webserie emitida por distintas plataformas online como Blip y Youtube. Consta de una serie de episodios de corta duración centrados en un actor, Cheeks (Brad Bell), y un jugador de béisbol profesional, Brady Kelly (Sean Hemeon). Ambos están casados desde que en un viaje a Las Vegas, fueron a celebrar una enmienda por la igualdad del matrimonio. En la celebración ambos acaban borrachos y casados; pero deciden no divorciarse por el daño que esa noticia pudiera hacer a sus carreras.
    
      ";Comedia
2683;Hyperdrive;"
    
              Serie británica, producida por BBC, que mezcla humor y ciencia ficción. Protagonizada por el cómico británico Nick Frost -uno de los actores de comedia más solicitados de Reino Unido, al que Quentin Tarantino definió como 'el hombre más divertido de la Tierra'- ""Hyperdrive"" sigue a la tripulación de una nave espacial en su misión de proteger los intereses comerciales británicos en la galaxia.

Es el año 2151 y Gran Bretaña ha lanzado al espacio una flota de naves para explorar la galaxia como sólo saben hacer los británicos: con flema y haciendo pausas para tomar el té. ¿Su misión? Exportar todo lo auténticamente británico -carísimos supermercados, urbanizaciones y locutorios- a todo los rincones de una galaxia en continuo cambio. Al frente de una de las naves expedicionarias está el indómito y un poco quisquilloso comandante Henderson (Nick Frost, ""Zombies Party (Una noche de muerte)""), a cuyas órdenes figura toda una serie de inadaptados sociales, como la meticulosa oficial diplomática Teal (Miranda Hart, nominada a los British Comedy Awards por este papel), el oficial York (Kevin Eldon), el depresivo oficial de vuelo Vine (Stephen Evans), el indisciplinado técnico Jeffers (Dan Antopolski), la piloto Sandstrom (Petra Massey) o el ambicioso jefe de la Policía Espacial Clarke (Paterson Joseph).
    
      ";Ciencia ficción
2684;I Didn't Do It;"
'I Didn't do it' gira en torno a los gemelos ultra-competitivos Lindy y Logan Watson, junto con sus tres mejores amigos que empiezan su primer año en la escuela de secundaria. Cada episodio comienza con ""¿Qué ha pasado?"" en una situación cómica donde la vida de Lindy y Logan  gira constantemente alrededor de un suceso o situación. La serie utiliza fashbacks para contar historias extrañas de los hermanos.La serie está protagonizada por Olivia Holt ('Kickin' It') y Austin North y creada por Tod Himmel ('Sensación de vivir: la nueva generación') y Josh Silverstein ('Sunny entre Estrellas').
";Comedia
2685;I Hate My Teenage Daughter;"
    
              Dirigida por Andy Ackerman ('Seinfeld', 'Larry David', 'Perfect Couples') y creada por la pareja creativa formada por Sherry Bilsing ('Friends', 'Joey') y Ellen Kreamer ('Las aventuras de Christine'), 'I Hate My Teenage Daughter' es una comedia sobre dos amigas, que a la vez son madres solteras, que se enfrentan a la difícil tarea de educar a sus consentidas hijas.Annie (la ganadora de un Emmy por 'Me llamo Earl' Jaime Pressly) Y Nikki (Katie Finneran, 'Embrujada', 'Tienes un em@il') son dos marginadas sociales del instituto cuya biografía explica al dedillo el modo que tienen de cuidar a sus hijas. Annie, criada en el seno de una familia ultrareligiosa y estricta, le deja hacer a su hija Sophie (Kristi Lauren, 'You', 'Living the Dream') prácticamente lo que quiere. Y Nikki, ex paria de su colegio, rellenita y nada popular, se ha reinventado a sí misma como una mujer atractiva del sur de EE UU cuya única obsesión consiste en darle a su hija Mackenzie (Aisha Dee, 'Dead Gorgeous', 'Terra Nova') la vida que ella jamás pudo disfrutar.Sophie y Mackenzie también son mejores amigas, lo que provoca que parezca que tienen dos madres en lugar de una. Annie y Nikki se lo han permitido todo: ropa, dinero y autoestima. El único problema es que, como consecuencia de ello, sus hijas se han convertido en las típicas chicas que ellas odiaban cuando estaban en el instituto. Las que las ignoraban y martirizaban por no ser populares ni guapas. Sophie se burla de su madre siempre que puede, pero en el fondo la necesita y sabe que su comportamiento no siempre es el más correcto. Mackenzie, por el otro lado, es la más manipuladora de las dos. Sabe cómo embaucar a su madre y utilizar sus inseguridades en su propio beneficio.El ex marido de Annie, Matt (Eric Sheffer Stevens, 'Julie y Julia', 'Greta', 'Con C Mayúscula') desea ser un buen padre, pero a la vez es demasiado poco espabilado para saber qué significa educar a un hijo. Eso deja las obligaciones paternales a Jack (Kevin Rahm, 'La juez Amy', 'Mujeres Desesperadas'), un abogado atractivo y de éxito que aconseja siempre que puede a Sophie. Y a Annie no le importaría, a no ser que se sintiera atraída por él.Gary (Chad Coleman, 'The Wire', 'Cómo acabar con tu jefe'), el ex de Nikki, también intenta estar al lado de su hija. Pero su difícil relación con su antigua esposa no siempre se lo permite. A medida que sus hijas experimentan bailes de insituto y otros escalones de la adolescencia a la madurez, Annie y Nikki se ven forzadas a recordar lo duro que fue el colegio para ellas. Aunque cuando Sophie y Mackenzie se pasan de la raya, saben que tienen que castigarlas por primera vez e infundir respeto para que no sea demasiado tarde. Sea como sea, lo que saben es que lo harán juntas.
    
      ";Comedia
